platform,listing_id,title,city,bedrooms,bathrooms,price,rating,review_count,amenities_count,last_scraped
airbnb,1216784802950275430,Apartment in Beirut,Beirut,2,1,85.6,4.97,39,55,19/11/2025 11:41
airbnb,1498412981448743138,Apartment in Keserwan District,Keserwan District,1,1,40,5,,40,19/11/2025 11:41
airbnb,860197172861169767,Apartment in Furn El Chebbak,Furn El Chebbak,2,2,44.6,4.85,20,22,19/11/2025 11:42
airbnb,6666945,Loft in Beirut,Beirut,2,4,186.2,4.91,35,49,19/11/2025 11:42
airbnb,688115896369593579,Apartment in Al-Mansuriyya,Al-Mansuriyya,3,4,56.166666666666664,4.86,42,22,19/11/2025 11:42
airbnb,53862247,Apartment in Haret Sakher,Haret Sakher,1,1,77.6,4.99,69,54,19/11/2025 11:42
airbnb,1362971179654898452,Apartment in Jumayza,Jumayza,1,1,89,4.92,39,41,19/11/2025 11:42
airbnb,1035240333029153195,Skyline Sanctuary,Beirut,1,0,32.2,4.88,32,29,19/11/2025 11:42
airbnb,1000324394372795692,Apartment in Beirut,Beirut,2,2,191,4.95,40,63,19/11/2025 11:42
airbnb,557963501445698987,Apartment in Beirut,Beirut,3,2,242,4.92,87,48,19/11/2025 11:42
airbnb,682198475881321192,Villa in Baadrane,Baadrane,2,1,171.2,4.96,27,36,19/11/2025 11:42
airbnb,53123663,Apartment in Beirut,Beirut,1,1,84,4.88,56,29,19/11/2025 11:42
airbnb,1185416201177763021,Apartment in Dekwaneh,Dekwaneh,2,2,108.6,5,14,71,19/11/2025 11:42
airbnb,874441783036133989,Apartment in Beirut,Beirut,1,1,108.6,4.83,12,39,19/11/2025 11:42
airbnb,31775104,Apartment in Beirut,Beirut,2,1,58.8,4.66,146,45,19/11/2025 11:42
airbnb,13302941,Loft in Monteverde,Monteverde,2,1,116,4.91,118,70,19/11/2025 11:42
airbnb,933047852046012780,Apartment in Kasslik,Kasslik,1,1,54,4.79,34,38,19/11/2025 11:42
airbnb,778769237776449040,Apartment in Beirut,Beirut,1,1,62,4.97,29,26,19/11/2025 11:42
airbnb,964358779187975460,Apartment in Mar Mikhael,Mar Mikhael,1,1,68,4.83,121,38,19/11/2025 11:42
airbnb,1190284713996120026,Guesthouse in Deir El Qamar,Deir El Qamar,5,4,372.2,5,18,39,19/11/2025 11:43
airbnb,725779457035104824,Apartment in Byblos,Byblos,2,1,79,4.71,42,39,19/11/2025 11:43
airbnb,1498343057819001088,Apartment in Keserwan District,Keserwan District,1,1,43.6,5,,39,19/11/2025 11:43
airbnb,814261904025324391,Apartment in Zakrit,Zakrit,1,1,45.8,4.85,33,45,19/11/2025 11:43
airbnb,539672764228684702,Apartment in Beirut,Beirut,1,1,33.8,4.87,119,29,19/11/2025 11:43
airbnb,51721121,Apartment in Beirut,Beirut,3,3,158.6,4.89,91,39,19/11/2025 11:43
airbnb,39084409,Nov 22 – 27,Beirut,1,,14.8,4.88,108,24,19/11/2025 11:43
airbnb,1336173125437867318,"The backpacker’s bunk - Private room, shared flat.",Beirut,1,,22,4.91,22,38,19/11/2025 11:43
airbnb,660052490607694766,Apartment in Beirut,Beirut,1,1,63.8,4.62,104,36,19/11/2025 11:43
airbnb,871419491933756274,Apartment in Mar Mikhael,Mar Mikhael,1,1,81.4,4.87,102,41,19/11/2025 11:43
airbnb,655529266675477596,Apartment in Beirut,Beirut,2,1,101,5,85,60,19/11/2025 11:43
