platform,title,city,bedrooms,bathrooms,price,rating,review_count,amenities_count,last_scraped
Stayinn,The Club 1-BR / Gemmayze,Beirut,1,1,141.0,5.0,57,39,2025-11-24T06:33:51.671074
Stayinn,"Lush Studio in Bahsa, Batroun",Batroun,1,1,127.0,5.0,57,30,2025-11-20T06:32:27.649774
Stayinn,"Lush Studio in Bahsa, Batroun",Batroun,1,1,120.0,5.0,57,30,2025-11-24T06:34:07.831393
Stayinn,"Lush Studio in Bahsa, Batroun",Batroun,1,1,130.0,5.0,57,30,2025-11-22T06:30:15.962540
Stayinn,"Lush Studio in Bahsa, Batroun",Batroun,1,1,136.0,5.0,57,30,2025-11-23T06:31:29.244170
Stayinn,"Lush Studio in Bahsa, Batroun",Batroun,1,1,128.0,5.0,57,30,2025-11-19T14:26:36.076160
Stayinn,"Lush Studio in Bahsa, Batroun",Batroun,1,1,132.0,5.0,57,30,2025-11-21T06:34:04.155643
airbnb,Apartment in Sin el Fil,Sin El Fil,1,1,145.0,4.89,57,49,19/11/2025 11:39
Stayinn,The Club 1-BR / Gemmayze,Beirut,1,1,139.0,5.0,56,39,2025-11-19T14:26:20.389953
Stayinn,"Amine 602, 1-BR in Mar Mikhael",Beirut,1,1,92.0,5.0,56,40,2025-11-24T06:34:36.297385
Stayinn,"Amine 602, 1-BR in Mar Mikhael",Beirut,1,1,91.0,5.0,56,40,2025-11-22T06:30:42.785213
Stayinn,"Amine 703, Studio in Mar Mikhael",Beirut,1,1,83.0,5.0,56,40,2025-11-20T06:33:08.464800
Stayinn,"Amine 602, 1-BR in Mar Mikhael",Beirut,1,1,93.0,5.0,56,40,2025-11-21T06:34:36.478782
Stayinn,"Amine 602, 1-BR in Mar Mikhael",Beirut,1,1,94.0,5.0,56,40,2025-11-19T14:27:07.280225
Stayinn,"Amine 703, Studio in Mar Mikhael",Beirut,1,1,81.0,5.0,56,40,2025-11-19T14:27:16.318652
airbnb,Apartment in Beirut,Beirut,3,2,165.6,4.95,56,45,19/11/2025 11:37
airbnb,Apartment in Beirut,Beirut,1,1,84.0,4.88,56,29,19/11/2025 11:42
airbnb,Apartment in Beirut,Beirut,1,1,31.8,4.89,56,29,19/11/2025 11:39
Stayinn,"Amine 204, 2-BR in Mar Mikhael",Beirut,2,1,104.0,5.0,55,49,2025-11-19T14:27:19.691685
Stayinn,"Amine 204, 2-BR in Mar Mikhael",Beirut,2,1,161.0,5.0,55,49,2025-11-23T06:32:06.401121
Stayinn,Cloud 9: U Park /W Terrace,Beirut,1,1,120.0,5.0,55,45,2025-11-23T06:31:23.939878
airbnb,Apartment in Beirut,Beirut,1,1,51.4,4.95,55,41,19/11/2025 11:44
airbnb,Apartment in Beirut,Beirut,1,1,58.6,4.96,55,37,19/11/2025 11:40
airbnb,Apartment in Beirut,Beirut,1,1,108.6,5.0,55,71,19/11/2025 11:47
airbnb,Apartment in Beirut,Beirut,1,1,56.4,5.0,54,57,19/11/2025 11:46
airbnb,Apartment in Sin el Fil,Sin El Fil,1,1,123.0,4.96,54,42,19/11/2025 11:40
airbnb,Apartment in Beirut,Beirut,1,1,60.8,4.94,53,36,19/11/2025 11:39
airbnb,Loft in Beirut,Beirut,1,1,77.0,4.79,53,28,19/11/2025 11:44
Stayinn,"Cozy 1-BR / Bahsa, Batroun",Batroun,1,1,104.0,5.0,52,36,2025-11-24T06:34:21.821186
Stayinn,"Cozy 1-BR / Bahsa, Batroun",Batroun,1,1,136.0,5.0,52,36,2025-11-21T06:34:19.900809
Stayinn,"Cozy 1-BR / Bahsa, Batroun",Batroun,1,1,117.0,5.0,52,36,2025-11-23T06:31:44.214672
